variable,mae_Baseline,mae_Causal PCMCI,mae_Causal Random,mae_Masked PCMCI,mae_Masked Random,impr_Causal PCMCI_pct,impr_Causal Random_pct,impr_Masked PCMCI_pct,impr_Masked Random_pct
NINO34,0.6355279088020325,0.29139432311058044,0.5741332769393921,0.4525866210460663,0.788497269153595,54.14924835325367,9.660414753203996,28.785720535988695,-24.06965268290249
PDO,0.6298292875289917,0.5163267254829407,0.6152357459068298,0.612375795841217,0.6094581484794617,18.021162923584495,2.317063037734667,2.7711464095691576,3.234390564696045
TSA,0.6832931637763977,0.45727258920669556,0.7204870581626892,0.544596791267395,0.7096965312957764,33.07812613264569,-5.443328919131835,20.29822334859331,-3.864134593920649
TNA,0.6306505799293518,0.5053523778915405,0.6093147397041321,0.7502307295799255,0.6365288496017456,19.868086389748143,3.3831476421713367,-18.96139533622083,-0.9320961336549168
NAO,1.1036276817321777,0.8596457839012146,1.1357635259628296,1.0548536777496338,0.994002640247345,22.10726514652351,-2.911837457738796,4.419425571673922,9.93315438706402
AO,0.9729331731796265,0.7245674133300781,0.9455983638763428,1.013647437095642,0.9722117185592651,25.527525085599496,2.8095258807910994,-4.184692745438829,0.07415253588317422
PNA,0.9308677911758423,0.8046478033065796,0.8351004123687744,0.9237955212593079,0.8369116187095642,13.559389320993228,10.28796782044608,0.7597502012182589,10.093396007138205
