model,mse,rmse,mae,ci_lower,ci_upper,dm_stat,p_value
Baseline,1.1107370853424072,1.0539151224564562,0.7981042265892029,0.9593431994318962,1.2709528744220733,,
Causal PCMCI,0.6300452947616577,0.7937539258244067,0.5941724181175232,0.546204560995102,0.72016761302948,11.887015837364578,1.3825866539129866e-32
Causal Random,1.0543105602264404,1.0267962603293996,0.7765190601348877,0.8975604817271232,1.2041362732648848,1.7968649640363374,0.07235705993762691
Masked PCMCI,1.0187023878097534,1.0093078756305003,0.7645837664604187,0.8617618754506111,1.1635276526212692,2.224656761467047,0.02610428902005134
Masked Random,1.0474214553833008,1.0234361022473757,0.7924724221229553,0.895042271912098,1.1951172351837158,1.246379172509146,0.2126252238651415
