model,mse,rmse,mae,ci_lower,ci_upper,dm_stat,p_value
Random Walk,0.13972610378127778,0.3737995502689614,0.06972359350121334,0.011255775815135816,0.39370172796298614,-0.8694223378493859,0.38472558196183737
VAR,0.12576331243775188,0.3546312344362125,0.07934355088167959,0.009231083556316739,0.3506931508667119,-1.937501472419857,0.05283155833558173
LSTM Baseline,0.07486559145838402,0.2736157734093267,0.060193991426375056,0.007475808827816795,0.20231694214687576,,
LSTM-L2,0.07419396425536243,0.2723856902543936,0.05892937724089967,0.007081447391894528,0.201294744746804,2.2555399188680467,0.024212381058881252
LSTM Causal (lam=0.1),0.07416372572505393,0.27233017777149476,0.05833065769602719,0.006942701719777,0.20107991131732145,1.393302120205984,0.1636908218730754
LSTM Causal (Random),0.07495408058427376,0.273777428916764,0.058783844155183,0.0069888200170505,0.20192978414286059,-0.19871316055297525,0.8425083109024847
LSTM Masked (PCMCI),0.07521938084239,0.27426151906964635,0.06348534515858341,0.008534752416075762,0.20410064474882675,-0.4980277088209459,0.6185219389141344
LSTM Masked (Random),0.07806270315927862,0.27939703498655566,0.06788039677948073,0.009703270455651926,0.20475272699023678,-1.9194799424680409,0.0550726877981566
